InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country,Revenue,Year,Month,Day,Hour
536381,15056BL,EDWARDIAN PARASOL BLACK,2,2010-12-01 09:41:00,5.95,15311.0,United Kingdom,11.9,2010,12,1,9
536381,15056N,EDWARDIAN PARASOL NATURAL,2,2010-12-01 09:41:00,5.95,15311.0,United Kingdom,11.9,2010,12,1,9
536385,85049A,TRADITIONAL CHRISTMAS RIBBONS,12,2010-12-01 09:56:00,1.25,17420.0,United Kingdom,15.0,2010,12,1,9
536386,85099C,JUMBO  BAG BAROQUE BLACK WHITE,100,2010-12-01 09:57:00,1.65,16029.0,United Kingdom,165.0,2010,12,1,9
536386,85099B,JUMBO BAG RED RETROSPOT,100,2010-12-01 09:57:00,1.65,16029.0,United Kingdom,165.0,2010,12,1,9
536389,35004C,SET OF 3 COLOURED  FLYING DUCKS,6,2010-12-01 10:03:00,5.45,12431.0,Australia,32.7,2010,12,1,10
536389,35004G,SET OF 3 GOLD FLYING DUCKS,4,2010-12-01 10:03:00,6.35,12431.0,Australia,25.4,2010,12,1,10
536389,85014B,RED RETROSPOT UMBRELLA,6,2010-12-01 10:03:00,5.95,12431.0,Australia,35.7,2010,12,1,10
536389,85014A,BLACK/BLUE POLKADOT UMBRELLA,3,2010-12-01 10:03:00,5.95,12431.0,Australia,17.85,2010,12,1,10
536390,84970S,HANGING HEART ZINC T-LIGHT HOLDER,144,2010-12-01 10:19:00,0.64,17511.0,United Kingdom,92.16,2010,12,1,10
536390,85123A,WHITE HANGING HEART T-LIGHT HOLDER,64,2010-12-01 10:19:00,2.55,17511.0,United Kingdom,163.2,2010,12,1,10
536390,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,24,2010-12-01 10:19:00,3.39,17511.0,United Kingdom,81.36,2010,12,1,10
536390,84030E,ENGLISH ROSE HOT WATER BOTTLE,24,2010-12-01 10:19:00,3.75,17511.0,United Kingdom,90.0,2010,12,1,10
536390,85099B,JUMBO BAG RED RETROSPOT,100,2010-12-01 10:19:00,1.65,17511.0,United Kingdom,165.0,2010,12,1,10
536394,85123A,WHITE HANGING HEART T-LIGHT HOLDER,32,2010-12-01 10:39:00,2.55,13408.0,United Kingdom,81.6,2010,12,1,10
536396,85123A,WHITE HANGING HEART T-LIGHT HOLDER,6,2010-12-01 10:51:00,2.55,17850.0,United Kingdom,15.299999999999999,2010,12,1,10
536396,84406B,CREAM CUPID HEARTS COAT HANGER,8,2010-12-01 10:51:00,2.75,17850.0,United Kingdom,22.0,2010,12,1,10
536396,15056BL,EDWARDIAN PARASOL BLACK,6,2010-12-01 10:51:00,4.95,17850.0,United Kingdom,29.700000000000003,2010,12,1,10
536396,82494L,WOODEN FRAME ANTIQUE WHITE,12,2010-12-01 10:51:00,2.55,17850.0,United Kingdom,30.599999999999998,2010,12,1,10
536396,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,6,2010-12-01 10:51:00,3.39,17850.0,United Kingdom,20.34,2010,12,1,10
536396,84029E,RED WOOLLY HOTTIE WHITE HEART.,6,2010-12-01 10:51:00,3.39,17850.0,United Kingdom,20.34,2010,12,1,10
536397,35004B,SET OF 3 BLACK FLYING DUCKS,12,2010-12-01 10:51:00,4.65,17924.0,United Kingdom,55.800000000000004,2010,12,1,10
536397,35004C,SET OF 3 COLOURED  FLYING DUCKS,48,2010-12-01 10:51:00,4.65,17924.0,United Kingdom,223.20000000000002,2010,12,1,10
536401,85049E,SCANDINAVIAN REDS RIBBONS,2,2010-12-01 11:21:00,1.25,15862.0,United Kingdom,2.5,2010,12,1,11
536401,17091A,LAVENDER INCENSE IN TIN,1,2010-12-01 11:21:00,1.25,15862.0,United Kingdom,1.25,2010,12,1,11
536401,84509A,SET OF 4 ENGLISH ROSE PLACEMATS,2,2010-12-01 11:21:00,3.75,15862.0,United Kingdom,7.5,2010,12,1,11
536401,84510A,SET OF 4 ENGLISH ROSE COASTERS,2,2010-12-01 11:21:00,1.25,15862.0,United Kingdom,2.5,2010,12,1,11
536401,84709B,PINK OVAL JEWELLED MIRROR,1,2010-12-01 11:21:00,5.95,15862.0,United Kingdom,5.95,2010,12,1,11
536401,85123A,WHITE HANGING HEART T-LIGHT HOLDER,4,2010-12-01 11:21:00,2.95,15862.0,United Kingdom,11.8,2010,12,1,11
536401,84625C,BLUE NEW BAROQUE CANDLESTICK CANDLE,3,2010-12-01 11:21:00,2.95,15862.0,United Kingdom,8.850000000000001,2010,12,1,11
536401,84625A,PINK NEW BAROQUECANDLESTICK CANDLE,3,2010-12-01 11:21:00,2.95,15862.0,United Kingdom,8.850000000000001,2010,12,1,11
536401,47570B,TEA TIME TABLE CLOTH,1,2010-12-01 11:21:00,10.65,15862.0,United Kingdom,10.65,2010,12,1,11
536401,84030E,ENGLISH ROSE HOT WATER BOTTLE,1,2010-12-01 11:21:00,4.25,15862.0,United Kingdom,4.25,2010,12,1,11
536403,POST,POSTAGE,1,2010-12-01 11:27:00,15.0,12791.0,Netherlands,15.0,2010,12,1,11
536404,85049C,ROMANTIC PINKS RIBBONS,12,2010-12-01 11:29:00,1.25,16218.0,United Kingdom,15.0,2010,12,1,11
536404,85049D,BRIGHT BLUES RIBBONS,12,2010-12-01 11:29:00,1.25,16218.0,United Kingdom,15.0,2010,12,1,11
536404,85049E,SCANDINAVIAN REDS RIBBONS,12,2010-12-01 11:29:00,1.25,16218.0,United Kingdom,15.0,2010,12,1,11
536404,85049G,CHOCOLATE BOX RIBBONS,12,2010-12-01 11:29:00,1.25,16218.0,United Kingdom,15.0,2010,12,1,11
536406,85123A,WHITE HANGING HEART T-LIGHT HOLDER,8,2010-12-01 11:33:00,2.55,17850.0,United Kingdom,20.4,2010,12,1,11
536406,84406B,CREAM CUPID HEARTS COAT HANGER,8,2010-12-01 11:33:00,2.75,17850.0,United Kingdom,22.0,2010,12,1,11
536406,82494L,WOODEN FRAME ANTIQUE WHITE,6,2010-12-01 11:33:00,2.55,17850.0,United Kingdom,15.299999999999999,2010,12,1,11
536406,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,6,2010-12-01 11:33:00,3.39,17850.0,United Kingdom,20.34,2010,12,1,11
536406,84029E,RED WOOLLY HOTTIE WHITE HEART.,6,2010-12-01 11:33:00,3.39,17850.0,United Kingdom,20.34,2010,12,1,11
536408,84029E,RED WOOLLY HOTTIE WHITE HEART.,4,2010-12-01 11:41:00,3.75,14307.0,United Kingdom,15.0,2010,12,1,11
536408,84970L,SINGLE HEART ZINC T-LIGHT HOLDER,12,2010-12-01 11:41:00,0.95,14307.0,United Kingdom,11.399999999999999,2010,12,1,11
536408,85014B,RED RETROSPOT UMBRELLA,3,2010-12-01 11:41:00,5.95,14307.0,United Kingdom,17.85,2010,12,1,11
536408,85014A,BLACK/BLUE POLKADOT UMBRELLA,3,2010-12-01 11:41:00,5.95,14307.0,United Kingdom,17.85,2010,12,1,11
536408,84997B,RED 3 PIECE RETROSPOT CUTLERY SET,6,2010-12-01 11:41:00,3.75,14307.0,United Kingdom,22.5,2010,12,1,11
536409,90199C,5 STRAND GLASS NECKLACE CRYSTAL,3,2010-12-01 11:45:00,6.35,17908.0,United Kingdom,19.049999999999997,2010,12,1,11
536409,90129F,RED GLASS TASSLE BAG CHARM,1,2010-12-01 11:45:00,2.95,17908.0,United Kingdom,2.95,2010,12,1,11
536409,90210B,CLEAR ACRYLIC FACETED BANGLE,1,2010-12-01 11:45:00,2.95,17908.0,United Kingdom,2.95,2010,12,1,11
536409,90199C,5 STRAND GLASS NECKLACE CRYSTAL,1,2010-12-01 11:45:00,6.35,17908.0,United Kingdom,6.35,2010,12,1,11
536409,72802C,VANILLA SCENT CANDLE JEWELLED BOX,1,2010-12-01 11:45:00,4.25,17908.0,United Kingdom,4.25,2010,12,1,11
536409,84625A,PINK NEW BAROQUECANDLESTICK CANDLE,1,2010-12-01 11:45:00,2.95,17908.0,United Kingdom,2.95,2010,12,1,11
536409,84625C,BLUE NEW BAROQUE CANDLESTICK CANDLE,3,2010-12-01 11:45:00,2.95,17908.0,United Kingdom,8.850000000000001,2010,12,1,11
536409,85169B,BLACK LOVE BIRD CANDLE,12,2010-12-01 11:45:00,1.25,17908.0,United Kingdom,15.0,2010,12,1,11
536409,90199C,5 STRAND GLASS NECKLACE CRYSTAL,2,2010-12-01 11:45:00,6.35,17908.0,United Kingdom,12.7,2010,12,1,11
536409,85099B,JUMBO BAG RED RETROSPOT,2,2010-12-01 11:45:00,1.95,17908.0,United Kingdom,3.9,2010,12,1,11
536409,85099F,JUMBO BAG STRAWBERRY,1,2010-12-01 11:45:00,1.95,17908.0,United Kingdom,1.95,2010,12,1,11
536412,85049E,SCANDINAVIAN REDS RIBBONS,3,2010-12-01 11:49:00,1.25,17920.0,United Kingdom,3.75,2010,12,1,11
536412,85049E,SCANDINAVIAN REDS RIBBONS,1,2010-12-01 11:49:00,1.25,17920.0,United Kingdom,1.25,2010,12,1,11
536412,85049E,SCANDINAVIAN REDS RIBBONS,12,2010-12-01 11:49:00,1.25,17920.0,United Kingdom,15.0,2010,12,1,11
536412,85184C,S/4 VALENTINE DECOUPAGE HEART BOX,1,2010-12-01 11:49:00,2.95,17920.0,United Kingdom,2.95,2010,12,1,11
536415,35591T,TURQUOISE CHRISTMAS TREE,2,2010-12-01 11:57:00,1.25,12838.0,United Kingdom,2.5,2010,12,1,11
536415,84032B,CHARLIE + LOLA RED HOT WATER BOTTLE,3,2010-12-01 11:57:00,2.95,12838.0,United Kingdom,8.850000000000001,2010,12,1,11
536415,85049H,URBAN BLACK RIBBONS,2,2010-12-01 11:57:00,1.25,12838.0,United Kingdom,2.5,2010,12,1,11
536416,82494L,WOODEN FRAME ANTIQUE WHITE,6,2010-12-01 11:58:00,2.95,13255.0,United Kingdom,17.700000000000003,2010,12,1,11
536423,84029E,RED WOOLLY HOTTIE WHITE HEART.,8,2010-12-01 12:08:00,3.75,18085.0,United Kingdom,30.0,2010,12,1,12
536446,72800E,4 IVORY DINNER CANDLES SILVER FLOCK,6,2010-12-01 12:15:00,2.55,15983.0,United Kingdom,15.299999999999999,2010,12,1,12
536446,85169B,BLACK LOVE BIRD CANDLE,24,2010-12-01 12:15:00,1.25,15983.0,United Kingdom,30.0,2010,12,1,12
536446,84625C,BLUE NEW BAROQUE CANDLESTICK CANDLE,10,2010-12-01 12:15:00,2.95,15983.0,United Kingdom,29.5,2010,12,1,12
536460,84849B,FAIRY SOAP SOAP HOLDER,12,2010-12-01 12:22:00,1.69,14849.0,United Kingdom,20.28,2010,12,1,12
536464,90200B,BLACK SWEETHEART BRACELET,2,2010-12-01 12:23:00,4.25,17968.0,United Kingdom,8.5,2010,12,1,12
536464,90059B,DIAMANTE HAIR GRIP PACK/2 BLACK DIA,2,2010-12-01 12:23:00,1.65,17968.0,United Kingdom,3.3,2010,12,1,12
536464,90185C,BLACK DIAMANTE EXPANDABLE RING,2,2010-12-01 12:23:00,4.25,17968.0,United Kingdom,8.5,2010,12,1,12
536464,90059E,DIAMANTE HAIR GRIP PACK/2 RUBY,3,2010-12-01 12:23:00,1.65,17968.0,United Kingdom,4.949999999999999,2010,12,1,12
536464,90059C,DIAMANTE HAIR GRIP PACK/2 MONTANA,1,2010-12-01 12:23:00,1.65,17968.0,United Kingdom,1.65,2010,12,1,12
536464,90200C,BLUE SWEETHEART BRACELET,1,2010-12-01 12:23:00,4.25,17968.0,United Kingdom,4.25,2010,12,1,12
536464,90200D,PINK SWEETHEART BRACELET,3,2010-12-01 12:23:00,4.25,17968.0,United Kingdom,12.75,2010,12,1,12
536464,90200A,PURPLE SWEETHEART BRACELET,1,2010-12-01 12:23:00,4.25,17968.0,United Kingdom,4.25,2010,12,1,12
536464,85099B,JUMBO BAG RED RETROSPOT,1,2010-12-01 12:23:00,1.95,17968.0,United Kingdom,1.95,2010,12,1,12
536464,16258A,SWIRLY CIRCULAR RUBBERS IN BAG,1,2010-12-01 12:23:00,0.42,17968.0,United Kingdom,0.42,2010,12,1,12
536464,85231B,CINAMMON SET OF 9 T-LIGHTS,3,2010-12-01 12:23:00,0.85,17968.0,United Kingdom,2.55,2010,12,1,12
536464,85231G,ORANGE SCENTED SET/9 T-LIGHTS,5,2010-12-01 12:23:00,0.85,17968.0,United Kingdom,4.25,2010,12,1,12
536464,48173C,DOORMAT BLACK FLOCK,1,2010-12-01 12:23:00,7.95,17968.0,United Kingdom,7.95,2010,12,1,12
536464,85099C,JUMBO  BAG BAROQUE BLACK WHITE,1,2010-12-01 12:23:00,1.95,17968.0,United Kingdom,1.95,2010,12,1,12
536464,85231G,ORANGE SCENTED SET/9 T-LIGHTS,1,2010-12-01 12:23:00,0.85,17968.0,United Kingdom,0.85,2010,12,1,12
536464,85231B,CINAMMON SET OF 9 T-LIGHTS,2,2010-12-01 12:23:00,0.85,17968.0,United Kingdom,1.7,2010,12,1,12
536477,84029E,RED WOOLLY HOTTIE WHITE HEART.,24,2010-12-01 12:27:00,3.39,16210.0,United Kingdom,81.36,2010,12,1,12
536488,47563A,RETRO LONGBOARD IRONING BOARD COVER,1,2010-12-01 12:31:00,3.75,17897.0,United Kingdom,3.75,2010,12,1,12
536488,84558A,3D DOG PICTURE PLAYING CARDS,1,2010-12-01 12:31:00,2.95,17897.0,United Kingdom,2.95,2010,12,1,12
536500,46000M,POLYESTER FILLER PAD 45x45cm,10,2010-12-01 12:35:00,1.55,17377.0,United Kingdom,15.5,2010,12,1,12
536500,84029E,RED WOOLLY HOTTIE WHITE HEART.,2,2010-12-01 12:35:00,3.75,17377.0,United Kingdom,7.5,2010,12,1,12
536502,85123A,WHITE HANGING HEART T-LIGHT HOLDER,6,2010-12-01 12:36:00,2.95,16552.0,United Kingdom,17.700000000000003,2010,12,1,12
536520,85123A,WHITE HANGING HEART T-LIGHT HOLDER,3,2010-12-01 12:43:00,2.95,14729.0,United Kingdom,8.850000000000001,2010,12,1,12
536520,71406C,BLACK ORANGE SQUEEZER,12,2010-12-01 12:43:00,0.42,14729.0,United Kingdom,5.04,2010,12,1,12
536520,84985A,SET OF 72 GREEN PAPER DOILIES,1,2010-12-01 12:43:00,1.45,14729.0,United Kingdom,1.45,2010,12,1,12
536520,84596E,SMALL LICORICE DES PINK BOWL,1,2010-12-01 12:43:00,1.25,14729.0,United Kingdom,1.25,2010,12,1,12
536522,84997D,PINK 3 PIECE POLKADOT CUTLERY SET,1,2010-12-01 12:49:00,3.75,15012.0,United Kingdom,3.75,2010,12,1,12
536522,47599A,PINK PARTY BAGS,1,2010-12-01 12:49:00,2.1,15012.0,United Kingdom,2.1,2010,12,1,12
536522,47599B,BLUE PARTY BAGS,1,2010-12-01 12:49:00,2.1,15012.0,United Kingdom,2.1,2010,12,1,12
536522,85231G,ORANGE SCENTED SET/9 T-LIGHTS,1,2010-12-01 12:49:00,0.85,15012.0,United Kingdom,0.85,2010,12,1,12
536522,85035B,CHOCOLATE 3 WICK MORRIS BOX CANDLE,1,2010-12-01 12:49:00,4.25,15012.0,United Kingdom,4.25,2010,12,1,12
536522,84968C,SET OF 16 VINTAGE PISTACHIO CUTLERY,1,2010-12-01 12:49:00,12.75,15012.0,United Kingdom,12.75,2010,12,1,12
536522,85231B,CINAMMON SET OF 9 T-LIGHTS,1,2010-12-01 12:49:00,0.85,15012.0,United Kingdom,0.85,2010,12,1,12
536522,84997C,BLUE 3 PIECE POLKADOT CUTLERY SET,1,2010-12-01 12:49:00,3.75,15012.0,United Kingdom,3.75,2010,12,1,12
536522,85014A,BLACK/BLUE POLKADOT UMBRELLA,1,2010-12-01 12:49:00,5.95,15012.0,United Kingdom,5.95,2010,12,1,12
536522,72800B,4 PURPLE FLOCK DINNER CANDLES,2,2010-12-01 12:49:00,2.55,15012.0,United Kingdom,5.1,2010,12,1,12
536522,84563A,PINK & WHITE BREAKFAST TRAY,1,2010-12-01 12:49:00,5.95,15012.0,United Kingdom,5.95,2010,12,1,12
536522,47504H,ENGLISH ROSE SPIRIT LEVEL,1,2010-12-01 12:49:00,1.95,15012.0,United Kingdom,1.95,2010,12,1,12
536522,85099B,JUMBO BAG RED RETROSPOT,1,2010-12-01 12:49:00,1.95,15012.0,United Kingdom,1.95,2010,12,1,12
536525,17164B,ASS COL SMALL SAND GECKO P'WEIGHT,2,2010-12-01 12:54:00,0.42,14078.0,United Kingdom,0.84,2010,12,1,12
536525,15044B,BLUE PAPER PARASOL,1,2010-12-01 12:54:00,2.95,14078.0,United Kingdom,2.95,2010,12,1,12
536526,85099B,JUMBO BAG RED RETROSPOT,10,2010-12-01 12:58:00,1.95,14001.0,United Kingdom,19.5,2010,12,1,12
536527,84569B,PACK 3 FIRE ENGINE/CAR PATCHES,12,2010-12-01 13:04:00,1.25,12662.0,Germany,15.0,2010,12,1,13
536527,POST,POSTAGE,1,2010-12-01 13:04:00,18.0,12662.0,Germany,18.0,2010,12,1,13
536528,84985A,SET OF 72 GREEN PAPER DOILIES,1,2010-12-01 13:17:00,1.45,15525.0,United Kingdom,1.45,2010,12,1,13
536528,85114B,IVORY ENCHANTED FOREST PLACEMAT,1,2010-12-01 13:17:00,1.65,15525.0,United Kingdom,1.65,2010,12,1,13
536528,85049E,SCANDINAVIAN REDS RIBBONS,1,2010-12-01 13:17:00,1.25,15525.0,United Kingdom,1.25,2010,12,1,13
536528,85049A,TRADITIONAL CHRISTMAS RIBBONS,1,2010-12-01 13:17:00,1.25,15525.0,United Kingdom,1.25,2010,12,1,13
536528,85114C,RED ENCHANTED FOREST PLACEMAT,1,2010-12-01 13:17:00,1.65,15525.0,United Kingdom,1.65,2010,12,1,13
536531,15056N,EDWARDIAN PARASOL NATURAL,12,2010-12-01 13:23:00,5.95,15485.0,United Kingdom,71.4,2010,12,1,13
536531,15056BL,EDWARDIAN PARASOL BLACK,12,2010-12-01 13:23:00,5.95,15485.0,United Kingdom,71.4,2010,12,1,13
536538,85199L,LARGE HANGING IVORY & RED WOOD BIRD,10,2010-12-01 13:54:00,0.65,14594.0,United Kingdom,6.5,2010,12,1,13
536538,85199S,SMALL HANGING IVORY/RED WOOD BIRD,10,2010-12-01 13:54:00,0.42,14594.0,United Kingdom,4.2,2010,12,1,13
536539,85019A,ROMANTIC IMAGES NOTEBOOK SET,4,2010-12-01 14:03:00,4.25,15165.0,United Kingdom,17.0,2010,12,1,14
536539,85019C,CURIOUS  IMAGES NOTEBOOK SET,3,2010-12-01 14:03:00,4.25,15165.0,United Kingdom,12.75,2010,12,1,14
536539,84030E,ENGLISH ROSE HOT WATER BOTTLE,4,2010-12-01 14:03:00,4.25,15165.0,United Kingdom,17.0,2010,12,1,14
536540,85071A,BLUE CHARLIE+LOLA PERSONAL DOORSIGN,6,2010-12-01 14:05:00,2.95,14911.0,EIRE,17.700000000000003,2010,12,1,14
536540,85071C,"CHARLIE+LOLA""EXTREMELY BUSY"" SIGN",6,2010-12-01 14:05:00,2.55,14911.0,EIRE,15.299999999999999,2010,12,1,14
536540,85135B,BLUE DRAGONFLY HELICOPTER,2,2010-12-01 14:05:00,7.95,14911.0,EIRE,15.9,2010,12,1,14
536540,85136A,YELLOW SHARK HELICOPTER,2,2010-12-01 14:05:00,7.95,14911.0,EIRE,15.9,2010,12,1,14
536540,85136C,RED SHARK HELICOPTER,2,2010-12-01 14:05:00,7.95,14911.0,EIRE,15.9,2010,12,1,14
536540,C2,CARRIAGE,1,2010-12-01 14:05:00,50.0,14911.0,EIRE,50.0,2010,12,1,14
536542,85099B,JUMBO BAG RED RETROSPOT,40,2010-12-01 14:11:00,1.95,16456.0,United Kingdom,78.0,2010,12,1,14
536542,85099F,JUMBO BAG STRAWBERRY,30,2010-12-01 14:11:00,1.95,16456.0,United Kingdom,58.5,2010,12,1,14
536542,85099C,JUMBO  BAG BAROQUE BLACK WHITE,20,2010-12-01 14:11:00,1.95,16456.0,United Kingdom,39.0,2010,12,1,14
536542,85123A,WHITE HANGING HEART T-LIGHT HOLDER,32,2010-12-01 14:11:00,2.95,16456.0,United Kingdom,94.4,2010,12,1,14
536551,84970L,SINGLE HEART ZINC T-LIGHT HOLDER,1,2010-12-01 14:34:00,0.95,17346.0,United Kingdom,0.95,2010,12,1,14
536551,84970S,HANGING HEART ZINC T-LIGHT HOLDER,2,2010-12-01 14:34:00,0.85,17346.0,United Kingdom,1.7,2010,12,1,14
536551,79144B,PAINTED LIGHTBULB STAR+ MOON,2,2010-12-01 14:34:00,0.42,17346.0,United Kingdom,0.84,2010,12,1,14
536557,46000R,POLYESTER FILLER PAD 45x30cm,2,2010-12-01 14:41:00,1.45,17841.0,United Kingdom,2.9,2010,12,1,14
536557,46000S,POLYESTER FILLER PAD 40x40cm,1,2010-12-01 14:41:00,1.45,17841.0,United Kingdom,1.45,2010,12,1,14
536557,84508A,CAMOUFLAGE DESIGN TEDDY,1,2010-12-01 14:41:00,2.55,17841.0,United Kingdom,2.55,2010,12,1,14
536557,84029E,RED WOOLLY HOTTIE WHITE HEART.,1,2010-12-01 14:41:00,3.75,17841.0,United Kingdom,3.75,2010,12,1,14
536557,85232B,SET OF 3 BABUSHKA STACKING TINS,1,2010-12-01 14:41:00,4.95,17841.0,United Kingdom,4.95,2010,12,1,14
536557,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,2,2010-12-01 14:41:00,3.75,17841.0,United Kingdom,7.5,2010,12,1,14
536557,79066K,RETRO MOD TRAY,1,2010-12-01 14:41:00,0.85,17841.0,United Kingdom,0.85,2010,12,1,14
536559,84884A,ANT WHITE WIRE HEART SPIRAL,10,2010-12-01 14:54:00,3.95,17873.0,United Kingdom,39.5,2010,12,1,14
536559,51014C,"FEATHER PEN,COAL BLACK",24,2010-12-01 14:54:00,0.85,17873.0,United Kingdom,20.4,2010,12,1,14
536559,51014L,"FEATHER PEN,LIGHT PINK",12,2010-12-01 14:54:00,0.85,17873.0,United Kingdom,10.2,2010,12,1,14
536559,51014C,"FEATHER PEN,COAL BLACK",12,2010-12-01 14:54:00,0.85,17873.0,United Kingdom,10.2,2010,12,1,14
536559,51014A,"FEATHER PEN,HOT PINK",12,2010-12-01 14:54:00,0.85,17873.0,United Kingdom,10.2,2010,12,1,14
536562,79302M,"ART LIGHTS,FUNK MONKEY",6,2010-12-01 15:08:00,2.95,13468.0,United Kingdom,17.700000000000003,2010,12,1,15
536562,84509B,SET OF 4 FAIRY CAKE PLACEMATS,4,2010-12-01 15:08:00,3.75,13468.0,United Kingdom,15.0,2010,12,1,15
536563,85199S,SMALL HANGING IVORY/RED WOOD BIRD,72,2010-12-01 15:08:00,0.42,17760.0,United Kingdom,30.24,2010,12,1,15
536569,84870C,GREEN GEISHA GIRL,1,2010-12-01 15:35:00,3.75,16274.0,United Kingdom,3.75,2010,12,1,15
536569,84870B,BLUE GEISHA GIRL,1,2010-12-01 15:35:00,3.75,16274.0,United Kingdom,3.75,2010,12,1,15
536569,M,Manual,1,2010-12-01 15:35:00,1.25,16274.0,United Kingdom,1.25,2010,12,1,15
536569,85232B,SET OF 3 BABUSHKA STACKING TINS,1,2010-12-01 15:35:00,4.95,16274.0,United Kingdom,4.95,2010,12,1,15
536569,M,Manual,1,2010-12-01 15:35:00,18.95,16274.0,United Kingdom,18.95,2010,12,1,15
536571,85032D,YULETIDE IMAGES GIFT WRAP SET,6,2010-12-01 15:37:00,2.1,14696.0,United Kingdom,12.600000000000001,2010,12,1,15
536571,84760S,SMALL HANGING GLASS+ZINC LANTERN,12,2010-12-01 15:37:00,1.45,14696.0,United Kingdom,17.4,2010,12,1,15
536571,35598D,PINK/WHITE CHRISTMAS TREE 60CM,24,2010-12-01 15:37:00,0.65,14696.0,United Kingdom,15.600000000000001,2010,12,1,15
536571,35598B,BLACK CHRISTMAS TREE 60CM,24,2010-12-01 15:37:00,0.65,14696.0,United Kingdom,15.600000000000001,2010,12,1,15
536571,85099C,JUMBO  BAG BAROQUE BLACK WHITE,10,2010-12-01 15:37:00,1.95,14696.0,United Kingdom,19.5,2010,12,1,15
